name,method,time to repair,number of changes
./out/cave01/87,UNI,3.65,7
./out/cave01/80,SHAP,1.44,5
./out/cave01/80,IG,1.07,4
./out/cave01/80,UNI,1.69,4
./out/cave01/74,SHAP,0.81,4
./out/cave01/74,IG,0.86,3
./out/cave01/74,UNI,2.85,3
./out/cave01/6,SHAP,0.83,2
./out/cave01/6,IG,0.78,2
./out/cave01/6,UNI,0.86,2
./out/cave01/28,SHAP,0.79,2
./out/cave01/28,IG,0.79,2
./out/cave01/28,UNI,0.87,2
./out/cave01/17,SHAP,0.84,1
./out/cave01/17,IG,0.83,1
./out/cave01/17,UNI,1.14,1
./out/cave01/1,SHAP,0.88,1
./out/cave01/1,IG,0.94,1
./out/cave01/1,UNI,2.49,1
./out/cave01/10,SHAP,7.1,5
./out/cave01/10,IG,14.98,5
./out/cave01/10,UNI,13.77,5
./out/cave01/19,SHAP,1.02,4
./out/cave01/19,IG,0.89,4
./out/cave01/19,UNI,1.09,4
./out/cave01/26,SHAP,2.09,4
./out/cave01/26,IG,1.19,4
./out/cave01/26,UNI,2.76,4
./out/cave01/8,SHAP,1.07,4
./out/cave01/8,IG,2.1,4
./out/cave01/8,UNI,1.99,4
./out/cave01/21,SHAP,2.06,6
./out/cave01/21,IG,2.09,6
./out/cave01/21,UNI,3.49,6
./out/cave01/75,SHAP,1.31,5
